충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
동명휴게소(춘천방향),동명휴게소,경상북도,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC차콤보,0,1,N,경상북도 칠곡군 동명면 중앙고속도로 122,,환경부(한국자동차환경협회),,36.0070848,128.5476385,2020-07-01,5220000,경상북도 칠곡군
칠곡휴게소(부산방향),칠곡휴게소,경상북도,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC차콤보,0,4,N,경상북도 칠곡군 왜관읍 경부고속도로 159,,환경부(한국자동차환경협회),,36.0194790,128.4277979,2020-07-01,5220000,경상북도 칠곡군
칠곡휴게소(서울방향),칠곡휴게소,경상북도,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC차콤보,0,2,N,경상북도 칠곡군 왜관읍 경부고속도로 159,,환경부(한국자동차환경협회),,36.0194790,128.4277979,2020-07-01,5220000,경상북도 칠곡군
동명면평생학습복지센터,동명면평생학습복지센터,경상북도,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC차콤보,0,3,N,경상북도 칠곡군 동명면 동명팔거천2길 9,,환경부(한국자동차환경협회),,35.9848964,128.5522964,2020-07-01,5220000,경상북도 칠곡군
울진연호공원,연호공원입구주차장,경상북도,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1,N,,경상북도 울진군 울진읍 연지리 820-62,환경부,,36.9927721366,129.4065671,2020-07-13,5250000,경상북도 울진군
덕구온천콘도주차장,덕구온천콘도주자창,경상북도,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1,N,,경상북도 울진군 북면 덕구리 578-6,환경부,,37.0784285817,129.282324,2020-07-13,5250000,경상북도 울진군
덕구온천콘도주차장,덕구온천콘도주자창,경상북도,연중무휴,00:00,23:59,N,Y,DC콤보,,1,N,,경상북도 울진군 북면 덕구리 578-6,환경부,,37.0784285817,129.282324,2020-07-13,5250000,경상북도 울진군
백암온천주차장,백암온천광장,경상북도,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1,N,,경상북도 울진군 온정면 소태리 1453,환경부,,36.7213287156,129.3434684053,2020-07-13,5250000,경상북도 울진군
후포면사무소,후포면복지문화센터,경상북도,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,,1,N,경상북도 울진군 후포면 삼율로 7-20,,환경부,,36.6786142291,129.439089601,2020-07-13,5250000,경상북도 울진군
후포면사무소,후포면복지문화센터,경상북도,연중무휴,00:00,23:59,N,Y,DC콤보,,1,N,경상북도 울진군 후포면 삼율로 7-20,,환경부,,36.6786142291,129.439089601,2020-07-13,5250000,경상북도 울진군
연천군청 급속충전소,연천군청 내부 주차장,경기도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모,0,1,N,경기도 연천군 연천읍 연천로 220,경기도 연천군 연천읍 차탄리 290-1,한국환경공단,032-590-5108,38.0965115,127.0752600114,2020-07-01,4140000,경기도 연천군
연천군보건의료원 완속충전소,보건의료원 내부 주차장,경기도,연중무휴,00:00,23:59,Y,N,-,1,0,N,경기도 연천군 전곡읍 은대성로 95,경기도 연천군 전곡읍 은대리 577-36,한국전력공사,031-960-6800,38.02353445,127.0609628,2020-07-01,4140000,경기도 연천군
전곡읍사무소 급속완속충전소,전곡읍사무소 내부 주차장,경기도,연중무휴,00:00,23:59,Y,Y,AC3상+DC,1,2,N,경기도 연천군 전곡읍 은전로 45,경기도 연천군 전곡읍 은대리 573,한국전력공사,031-960-6800,38.02801239,127.0637091,2020-07-01,4140000,경기도 연천군
연천공설운동장,연천공설운동장 메인 주차장,경기도,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모,0,1,N,경기도 연천군 연천읍 문화로 150,,한국전력공사,031-839-3277,38.1071249110,127.0797450104,2020-07-01,4140000,경기도 연천군
고대산 주차장,고대산 주차장,경기도,연중무휴,00:00,23:59,N,Y,AC4상+DC차데모,0,1,N,경기도 연천군 신서면 고대산길 84-12,경기도 연천군 신서면 대광리 310,에스트래픽(주),031-601-3560,38.2129309042,127.1468178371,2020-07-01,4140000,경기도 연천군
진원종합관리주식회사,서울특별시 노원구 노원로 3 우토파크프라자,서울특별시,연중무휴,09:00,18:00,Y,N,,,,N,서울특별시 노원구 노원로 3 우토파크프라자,서울 노원구 공릉동 90-4,대영채비,1522-2573,37.622001,127.086575,2020-07-13,3100000,서울특별시 노원구
금강IT타워CEO협의회,"경기도 안양시 동안구 학의로 282 (관양동, 금강펜테리움IT타워)",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 학의로 282 (관양동, 금강펜테리움IT타워)",-,케이티,1522-0123,37.401025,126.9691355449,2020-08-11,3830000,경기도 안양시
금강IT타워CEO협의회,"경기도 안양시 동안구 학의로 282 (관양동, 금강펜테리움IT타워)",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 학의로 282 (관양동, 금강펜테리움IT타워)",-,케이티,1522-0123,37.401025,126.9691355449,2020-08-11,3830000,경기도 안양시
금강IT타워CEO협의회,"경기도 안양시 동안구 학의로 282 (관양동, 금강펜테리움IT타워)",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 학의로 282 (관양동, 금강펜테리움IT타워)",-,케이티,1522-0123,37.401025,126.9691355449,2020-08-11,3830000,경기도 안양시
평촌목련신동아아파트903동,"경기도 안양시 동안구 동안로 75 (호계동, 목련신동아아파트) 301동,901동~903동",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 동안로 75 (호계동, 목련신동아아파트) 301동,901동~903동",-,케이티,1522-0123,37.38537331,126.953171,2020-08-11,3830000,경기도 안양시
평촌목련신동아아파트903동,"경기도 안양시 동안구 동안로 75 (호계동, 목련신동아아파트) 301동,901동~903동",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 동안로 75 (호계동, 목련신동아아파트) 301동,901동~903동",-,케이티,1522-0123,37.38537331,126.953171,2020-08-11,3830000,경기도 안양시
박달우성아파트,"경기도 안양시 만안구 박달로498번길 28 (박달동, 우성아파트)",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 만안구 박달로498번길 28 (박달동, 우성아파트)",-,케이티,1522-0123,37.40224242,126.9075633,2020-08-11,3830000,경기도 안양시
박달우성아파트,"경기도 안양시 만안구 박달로498번길 28 (박달동, 우성아파트)",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 만안구 박달로498번길 28 (박달동, 우성아파트)",-,케이티,1522-0123,37.40224242,126.9075633,2020-08-11,3830000,경기도 안양시
평촌목련신동아아파트,"경기도 안양시 동안구 동안로 75 (호계동, 목련신동아아파트) 301동,901동~903동",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 동안로 75 (호계동, 목련신동아아파트) 301동,901동~903동",-,케이티,1522-0123,37.38537331,126.953171,2020-08-11,3830000,경기도 안양시
성남 삼성한신아파트,주차장,경기도,없음,00:00,23:59,Y,N,AC완속,1,,N,경기도 성남시 분당구 중앙공원로 53,경기도 성남시 분당구 서현동 87,이카플러그,,37.3843723460,127.1282767658,2020-06-30,3780000,경기도 성남시
성남 삼성한신아파트,주차장,경기도,없음,00:00,23:59,Y,N,AC완속,1,,N,경기도 성남시 분당구 중앙공원로 53,경기도 성남시 분당구 서현동 87,이카플러그,,37.3843723460,127.1282767658,2020-06-30,3780000,경기도 성남시
성남 삼성한신아파트,주차장,경기도,없음,00:00,23:59,Y,N,AC완속,1,,N,경기도 성남시 분당구 중앙공원로 53,경기도 성남시 분당구 서현동 87,이카플러그,,37.3843723460,127.1282767658,2020-06-30,3780000,경기도 성남시
성남 삼성한신아파트,주차장,경기도,없음,00:00,23:59,Y,N,AC완속,1,,N,경기도 성남시 분당구 중앙공원로 53,경기도 성남시 분당구 서현동 87,이카플러그,,37.3843723460,127.1282767658,2020-06-30,3780000,경기도 성남시
성남시 서현1동행정복지센터,주차장,경기도,없음,00:00,23:59,Y,N,AC완속,1,,N,경기도 성남시 분당구 중앙공원로39번길 35,경기도 성남시 분당구 서현동 89-1,차지비,,37.3828610238,127.1260475391,2020-06-30,3780000,경기도 성남시
대우분당서비스,주차장,경기도,없음,00:00,23:59,Y,N,AC완속,1,,Y,경기도 성남시 분당구 탄천로 257 (야탑동),경기도 성남시 분당구 야탑동 403,케이티,,37.4148225789,127.1185597788,2020-06-30,3780000,경기도 성남시
대우분당서비스,주차장,경기도,없음,00:00,23:59,Y,N,AC완속,1,,Y,경기도 성남시 분당구 탄천로 257 (야탑동),경기도 성남시 분당구 야탑동 403,케이티,,37.4148225789,127.1185597788,2020-06-30,3780000,경기도 성남시
천안휴게소(서울방향),천안휴게소(서울방향),충청남도,연중무휴,00:00,23:59,N,Y,복합멀티형(DC차데모+AC3상+DC콤보),0,3,N,충청남도 천안시 동남구 쉼1길 42,충청남도 천안시 동남구 삼룡동 173-1,한국자동차환경협회,1661-9408,36.7870718468,127.1737634103,2020-07-15,4490000,충청남도 천안시
청수공원 주차장,청수공원 주차장,충청남도,연중무휴,00:00,23:59,N,Y,복합멀티형(DC차데모+AC3상+DC콤보),0,2,N,충청남도 천안시 동남구 청수로 20,충청남도 천안시 동남구 청수동 270,한국자동차환경협회,1661-9408,36.787787,127.1495475970,2020-07-15,4490000,충청남도 천안시
한국기술교육대학교(제1캠퍼스),한국기술교육대학교(제1캠퍼스),충청남도,연중무휴,00:00,23:59,N,Y,복합멀티형(DC차데모+AC3상+DC콤보),0,1,N,충청남도 천안시 동남구 병천면 충절로 1600,충청남도 천안시 동남구 병천면 가전리 307,한국자동차환경협회,1661-9408,36.7651063056,127.2811989385,2020-07-15,4490000,충청남도 천안시
칠곡군청,칠곡군청,경상북도,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC차콤보,0,1,N,경상북도 칠곡군 왜관읍 군청1길 80,,환경부(한국자동차환경협회),,35.9954818,128.4016023,2020-07-01,5220000,경상북도 칠곡군
동명휴게소(부산방향),동명휴게소,경상북도,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC차콤보,0,1,N,경상북도 칠곡군 동명면 중앙고속도로 123,,환경부(한국자동차환경협회),,36.0049952,128.5481167,2020-07-01,5220000,경상북도 칠곡군
법성 숲쟁이공원 주차장,법성 숲쟁이공원 주차장,전라남도,연중무휴,00:00,23:59,Y,N,,1,0,N,,전라남도 영광군 법성면 진내리 650-4,전라남도 영광군청,061-350-4678,35.364449,126.435361,2019-09-10,4970000,전라남도 영광군
고추특화시장,시장입구 공용화장실 옆,전라남도,연중무휴,00:00,23:59,Y,N,,1,0,N,,전라남도 영광군 영광읍 신하리 322-3,전라남도 영광군청,061-350-4678,35.274909,126.495124,2019-09-10,4970000,전라남도 영광군
송림그린테크단지,송림그린테크단지,전라남도,연중무휴,00:00,23:59,Y,N,,2,0,N,,전라남도 영광군 영광읍 송림리 1149-9,전라남도 영광군청,061-350-4678,35.290159,126.476756,2019-09-10,4970000,전라남도 영광군
영광 청소년문화센터,영광 청소년문화센터,전라남도,연중무휴,00:00,23:59,Y,N,,2,0,N,전라남도 영광군 영광읍 중앙로3길 6-10,전라남도 영광군 영광읍 도동리 107-32,전라남도 영광군청,061-350-4678,35.27258756,126.5123931,2019-09-10,4970000,전라남도 영광군
만남의광장,만남의광장,전라남도,연중무휴,00:00,23:59,Y,N,,3,0,N,,전라남도 영광군 영광읍 백학리 359-9,전라남도 영광군청,061-350-4678,35.278097,126.505343,2019-09-10,4970000,전라남도 영광군
창동역 환승주차장,외부주차장,서울특별시,연중무휴,00:00,24:00,Y,Y,AC3상+DC차데모,2,1,Y,,서울특별시 도봉구 창동 1-9,서울시(한국자동차환경협회),1661-9408,37.6543682091,127.0491292810,2019-08-05,3090000,서울특별시 도봉구
창1동 공영주차장,외부주차장,서울특별시,연중무휴,00:00,24:00,Y,N,,1,0,Y,서울특별시 도봉구 도봉로112길 43,서울특별시 도봉구 창동 657-37,서울시(한국자동차환경협회),1661-9408,37.6471290952,127.037189,2019-08-05,3090000,서울특별시 도봉구
부산광역시 부산시신세계아울렛,A주차타워 1층,부산광역시,명절당일,10:00,22:00,Y,N,AC3상+DC차데모+DC콤보,2,0,Y,부산광역시 기장군 장안읍 정관로 1133,,환경부(한국자동차환경협회),1661-9408,35.32381282,129.2349642,2020-09-10,3400000,부산광역시 기장군
장안휴게소(부산방향),외부 주차장,부산광역시,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,부산광역시 기장군 장안읍 동해고속도로 25,,환경부(한국자동차환경협회),1661-9408,35.37752624,129.2464012842,2020-09-10,3400000,부산광역시 기장군
장안휴게소(울산방향),휴게소와 LPG충전소 사이,부산광역시,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,부산광역시 기장군 장안읍 동해고속도로 26,,환경부(한국자동차환경협회),1661-9408,35.38287051,129.2483923,2020-09-10,3400000,부산광역시 기장군
장안읍사무소,장안읍사무소 주차장 정자 옆,부산광역시,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,부산광역시 기장군 장안읍 좌방길5,,환경부(한국자동차환경협회),1661-9408,35.31352066,129.2439947,2020-09-10,3400000,부산광역시 기장군
철마면사무소,철마면사무소 장애인주차공간 옆,부산광역시,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,부산광역시 기장군 철마면 철마로 485,,환경부(한국자동차환경협회),1661-9408,35.27521258,129.1497494,2020-09-10,3400000,부산광역시 기장군
정관읍사무소,정관읍사무소 주차장 컨테이너 옆,부산광역시,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,부산광역시 기장군 정관읍 용수로 4,,환경부(한국자동차환경협회),1661-9408,35.3255025191,129.1802917203,2020-09-10,3400000,부산광역시 기장군
정관노인복지관,정관노인복지관 주차장,부산광역시,연중무휴,00:00,23:59,N,Y,DC콤보,0,2,N,부산광역시 기장군 정관읍 정관중앙로 83-14,,환경부(한국자동차환경협회),1661-9408,35.32475799,129.1790641,2020-09-10,3400000,부산광역시 기장군
정관보건지소,정관보건지소주차장,부산광역시,연중무휴,00:00,23:59,N,Y,DC콤보,0,2,N,부산광역시 기장군 정관읍 용수로 11,,환경부(한국자동차환경협회),1661-9408,35.32517123,129.1793347,2020-09-10,3400000,부산광역시 기장군
기장군 종합사회복지관,종합사회복지관 입구,부산광역시,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,부산광역시 기장군 기장읍 차성로 206,,환경부(한국자동차환경협회),1661-9408,35.2359011727,129.213633,2020-09-10,3400000,부산광역시 기장군
기장시장 공영주차장,공영주차장 1층 주차장,부산광역시,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,부산광역시 기장군 기장읍 읍내로94번길 9,,환경부(한국자동차환경협회),1661-9408,35.24419501,129.2149335,2020-09-10,3400000,부산광역시 기장군
기장-현대차 드림볼파크,기장-현대차 드림볼파크 주차장,부산광역시,연중무휴,00:00,23:59,N,Y,AC3상+DC차데모+DC콤보,0,1,N,부산광역시 기장군 일광면 체육공원1로 155,,환경부(한국자동차환경협회),1661-9408,35.29739061,129.2416762,2020-09-10,3400000,부산광역시 기장군
청솔마을 화인아파트,정문출입구 30M 전방 중앙지하주차장 B1층 왼쪽 A16 기둥뒤,경기도,없음,00:00,23:59,Y,N,AC완속,1,,N,"경기도 성남시 분당구 정자일로 46 (금곡동, 청솔마을화인아파트)",경기도 성남시 분당구 금곡동 180,케이티,,37.3544800763,127.1063153856,2020-06-30,3780000,경기도 성남시
청솔마을 화인아파트,정문출입구 30M 전방 중앙지하주차장 B1층 왼쪽 A16 기둥뒤,경기도,없음,00:00,23:59,Y,N,AC완속,1,,N,"경기도 성남시 분당구 정자일로 46 (금곡동, 청솔마을화인아파트)",경기도 성남시 분당구 금곡동 180,케이티,,37.3544800763,127.1063153856,2020-06-30,3780000,경기도 성남시
성남 삼성한신아파트,주차장,경기도,없음,00:00,23:59,Y,N,AC완속,1,,N,경기도 성남시 분당구 중앙공원로 53,경기도 성남시 분당구 서현동 87,이카플러그,,37.3843723460,127.1282767658,2020-06-30,3780000,경기도 성남시
성남 삼성한신아파트,주차장,경기도,없음,00:00,23:59,Y,N,AC완속,1,,N,경기도 성남시 분당구 중앙공원로 53,경기도 성남시 분당구 서현동 87,이카플러그,,37.3843723460,127.1282767658,2020-06-30,3780000,경기도 성남시
성남 삼성한신아파트,주차장,경기도,없음,00:00,23:59,Y,N,AC완속,1,,N,경기도 성남시 분당구 중앙공원로 53,경기도 성남시 분당구 서현동 87,이카플러그,,37.3843723460,127.1282767658,2020-06-30,3780000,경기도 성남시
성남 삼성한신아파트,주차장,경기도,없음,00:00,23:59,Y,N,AC완속,1,,N,경기도 성남시 분당구 중앙공원로 53,경기도 성남시 분당구 서현동 87,이카플러그,,37.3843723460,127.1282767658,2020-06-30,3780000,경기도 성남시
성남 삼성한신아파트,주차장,경기도,없음,00:00,23:59,Y,N,AC완속,1,,N,경기도 성남시 분당구 중앙공원로 53,경기도 성남시 분당구 서현동 87,이카플러그,,37.3843723460,127.1282767658,2020-06-30,3780000,경기도 성남시
성남 삼성한신아파트,주차장,경기도,없음,00:00,23:59,Y,N,AC완속,1,,N,경기도 성남시 분당구 중앙공원로 53,경기도 성남시 분당구 서현동 87,이카플러그,,37.3843723460,127.1282767658,2020-06-30,3780000,경기도 성남시
광주시 문화스포츠센터,주차장,경기도,별도확인,00:00,23:59,N,Y,DC차데모+DC콤보,0,1,N,경기도 광주시 회안대로 891,경기도 광주시 송정동 340-1,한국전기차충전서비스,1522-1782,37.4268685007,127.2547061374,2020-10-06,5540000,경기도 광주시
광주시 문화스포츠센터,주차장,경기도,별도확인,00:00,23:59,Y,N,AC완속,1,0,N,경기도 광주시 회안대로 891,경기도 광주시 송정동 340-1,한국전기차충전서비스,1522-1782,37.4268685007,127.2547061374,2020-10-06,5540000,경기도 광주시
광주시 광주시청주차장,3층 옥외주차장,경기도,연중무휴,00:00,23:59,Y,N,AC완속,1,0,N,경기도 광주시 행정타운로 50,경기도 광주시 송정동 570,지엔텔,1544-4279,37.4292876633,127.2550692126,2020-10-06,5540000,경기도 광주시
광주시 광주시청주차장,3층 옥외주차장,경기도,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 광주시 행정타운로 50,경기도 광주시 송정동 570,지엔텔,1544-4279,37.429295,127.2550692126,2020-10-06,5540000,경기도 광주시
역동공영주차장,주차장,경기도,연중무휴,00:00,23:59,N,Y,DC콤보,0,1,N,,경기도 광주시 역동 27-15,환경부(한국자동차환경협회),1661-9408,37.405858,127.259935,2020-10-06,5540000,경기도 광주시
전기자동차 충전소(조성면사무소 주차장),조성면사무소주차장,전라남도,연중무휴,00:00,23:59,N,Y,트리플형,0,1,N,전라남도 보성군 조성면 조성로 119,전라남도 보성군 조성면 조성로 639,환경부(한국자동차환경협회),1661-9408,34.8085469571,127.2473738174,2019-06-24,4890000,전라남도 보성군
전기자동차 충전소(보성군청주차장),보성군청 지하주차장,전라남도,연중무휴,00:00,23:59,Y,Y,트리플형,1,1,N,전라남도 보성군 보성읍 송재로 165,전라남도 보성군 보성읍 보성리 807-2,환경부(한국자동차환경협회),1661-9408,34.771629,127.0799307,2019-06-24,4890000,전라남도 보성군
안양시 좋은이웃교회,경기도 안양시 동안구 경수대로 938 건물주차장 B2 왼쪽 끝,경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,경기도 안양시 동안구 경수대로 938 건물주차장 B2 왼쪽 끝,-,포스코ICT,1600-4047,37.3990867,126.9330589,2020-08-11,3830000,경기도 안양시
안양시 좋은이웃교회,경기도 안양시 동안구 경수대로 938 건물주차장 B2 왼쪽 끝,경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,경기도 안양시 동안구 경수대로 938 건물주차장 B2 왼쪽 끝,-,포스코ICT,1600-4047,37.3990867,126.9330589,2020-08-11,3830000,경기도 안양시
안양시 토브키즈어린이집,경기도 안양시 만안구 화창로 92번길 25 주차장,경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,경기도 안양시 만안구 화창로 92번길 25 주차장,-,포스코ICT,1600-4047,37.4124237,126.9044428,2020-08-11,3830000,경기도 안양시
안양시 토브키즈어린이집,경기도 안양시 만안구 화창로 92번길 25 주차장,경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,경기도 안양시 만안구 화창로 92번길 25 주차장,-,포스코ICT,1600-4047,37.4124237,126.9044428,2020-08-11,3830000,경기도 안양시
안양동안경찰서,경기도 안양시 동안구 동안로 159번길 43(동안구 비산동 1105),경기도,-,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 안양시 동안구 동안로 159번길 43(동안구 비산동 1105),-,에스트래픽,080-805-0010,37.39121016,126.9488671,2020-08-11,3830000,경기도 안양시
안양만안경찰서,경기도 안양시 만안구 냉천로 63(만안구 안양동 578-8),경기도,-,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 안양시 만안구 냉천로 63(만안구 안양동 578-8),-,에스트래픽,080-805-0010,37.3873380613,126.9259695322,2020-08-11,3830000,경기도 안양시
기아오토큐 평촌서비스,경기도 안양시 동안구 시민대로 393번길 21(동안구 관양동 853),경기도,-,00:00,24:00,N,Y,DC차데모+DC콤보,0,1,N,경기도 안양시 동안구 시민대로 393번길 21(동안구 관양동 853),-,에스트래픽,080-805-0010,37.3974424701,126.9733065,2020-08-11,3830000,경기도 안양시
기아오토큐 군포자동차정비,경기도 안양시 동안구 엘에스로 95(동안구 호계동 1028-9),경기도,-,00:00,24:00,N,Y,DC차데모+DC콤보,0,1,N,경기도 안양시 동안구 엘에스로 95(동안구 호계동 1028-9),-,에스트래픽,080-805-0010,37.37059532,126.9502584,2020-08-11,3830000,경기도 안양시
안양시 안양종합운동장,"경기도 안양시 동안구 평촌대로 389 지상1층주차장(정문방향, 19,20,21입구옆, 야외수영장앞)(비산동 1023)",경기도,-,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,"경기도 안양시 동안구 평촌대로 389 지상1층주차장(정문방향, 19,20,21입구옆, 야외수영장앞)(비산동 1023)",-,지엔텔,1544-4279,37.4051999,126.9476898,2020-08-11,3830000,경기도 안양시
피에스엔,경기도 안양시 동안구 벌말로 140 지하주차장 1층 램프 우측(관양동 823 지하주차장 1층 램프 우측),경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,경기도 안양시 동안구 벌말로 140 지하주차장 1층 램프 우측(관양동 823 지하주차장 1층 램프 우측),-,지엔텔,1544-4279,37.4002361,126.9704193,2020-08-11,3830000,경기도 안양시
안양국제유통단지관리단,경기도 안양시 동안구 엘에스로 92 지상(옥상) 19번 계단 출입구 주변,경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,경기도 안양시 동안구 엘에스로 92 지상(옥상) 19번 계단 출입구 주변,-,지엔텔,1544-4279,37.37161216,126.9514319,2020-08-11,3830000,경기도 안양시
평촌아크로타워,"경기도 안양시 동안구 시민대로 230 (관양동, 평촌아크로타워) 지하 5층",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 시민대로 230 (관양동, 평촌아크로타워) 지하 5층",-,케이티,1522-0123,37.3923124695,126.9565033,2020-08-11,3830000,경기도 안양시
평촌아크로타워,"경기도 안양시 동안구 시민대로 230 (관양동, 평촌아크로타워) 지하 5층",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 시민대로 230 (관양동, 평촌아크로타워) 지하 5층",-,케이티,1522-0123,37.3923124695,126.9565033,2020-08-11,3830000,경기도 안양시
